Date,INR
1/2/1979,"1,792.90"
1/3/1979,"1,802.20"
1/4/1979,"1,811.70"
1/5/1979,"1,843.60"
1/8/1979,"1,841.30"
1/9/1979,"1,822.50"
1/10/1979,"1,803.50"
1/11/1979,"1,814.60"
1/12/1979,"1,782.60"
1/15/1979,"1,782.00"
1/16/1979,"1,796.50"
1/17/1979,"1,842.10"
1/18/1979,"1,861.70"
1/19/1979,"1,940.80"
1/22/1979,"1,886.90"
1/23/1979,"1,895.40"
1/24/1979,"1,926.10"
1/25/1979,"1,937.80"
1/26/1979,"1,929.30"
1/29/1979,"1,887.00"
1/30/1979,"1,921.60"
1/31/1979,"1,840.80"
2/1/1979,"1,927.10"
2/2/1979,"1,907.40"
2/5/1979,"1,971.90"
2/6/1979,"1,996.80"
2/7/1979,"2,031.00"
2/8/1979,"2,081.00"
2/9/1979,"2,000.90"
2/12/1979,"2,046.40"
2/13/1979,"2,000.60"
2/14/1979,"1,946.70"
2/15/1979,"2,008.30"
2/16/1979,"2,016.70"
2/19/1979,"2,047.40"
2/20/1979,"2,032.40"
2/21/1979,"2,039.20"
2/22/1979,"2,052.70"
2/23/1979,"2,042.00"
2/26/1979,"2,034.50"
2/27/1979,"2,012.70"
2/28/1979,"2,011.70"
3/1/1979,"2,023.90"
3/2/1979,"2,020.50"
3/5/1979,"1,972.10"
3/6/1979,"1,941.20"
3/7/1979,"1,954.00"
3/8/1979,"1,919.80"
3/9/1979,"1,938.10"
3/12/1979,"1,939.70"
3/13/1979,"1,963.40"
3/14/1979,"1,969.90"
3/15/1979,"1,970.10"
3/16/1979,"1,972.90"
3/19/1979,"2,016.90"
3/20/1979,"1,991.60"
3/21/1979,"1,977.70"
3/22/1979,"1,998.00"
3/23/1979,"1,987.50"
3/26/1979,"1,989.90"
3/27/1979,"2,006.20"
3/28/1979,"1,988.90"
3/29/1979,"1,966.00"
3/30/1979,"1,940.20"
4/2/1979,"1,948.10"
4/3/1979,"1,942.60"
4/4/1979,"1,940.80"
4/5/1979,"1,939.50"
4/6/1979,"1,922.70"
4/9/1979,"1,957.60"
