Date,INR,Dollar conversion
1/1/1990,6624.80,16.84
1/2/1990,6764.70,16.80
1/3/1990,6700.30,16.89
1/4/1990,6713.70,16.90
1/5/1990,6851.40,16.88
1/8/1990,6729.10,16.88
1/9/1990,6827.40,16.88
1/10/1990,6914.70,16.85
1/11/1990,6973.60,16.85
1/12/1990,7051.70,16.85
1/15/1990,6997.50,16.85
1/16/1990,7001.30,16.91
1/17/1990,6956.90,16.92
1/18/1990,7016.50,16.93
1/19/1990,6929.90,16.95
1/22/1990,6884.30,16.95
1/23/1990,6940.40,16.93
1/24/1990,7139.20,16.92
1/25/1990,7006.90,16.93
1/26/1990,7068.30,16.93
1/29/1990,7035.30,16.89
1/30/1990,7056.10,16.89
1/31/1990,7041.00,16.88
2/1/1990,7058.10,16.90
2/2/1990,7086.40,16.89
2/5/1990,7040.90,16.91
2/6/1990,7133.50,16.88
2/7/1990,7176.00,16.87
2/8/1990,7084.00,16.88
2/9/1990,7087.10,16.88
2/12/1990,7137.20,16.93
2/13/1990,7092.80,16.93
2/14/1990,7031.00,16.88
2/15/1990,7055.60,16.89
2/16/1990,7019.60,16.92
2/19/1990,6979.80,16.92
2/20/1990,7134.70,16.92
2/21/1990,7139.20,16.91
2/22/1990,7102.00,16.91
2/23/1990,7067.90,16.92
2/26/1990,6923.80,16.94
2/27/1990,6950.60,16.96
2/28/1990,6957.40,16.96
3/1/1990,6927.40,16.96
3/2/1990,6917.60,16.96
3/5/1990,6789.70,16.98
3/6/1990,6913.10,16.98
3/7/1990,6827.30,16.97
3/8/1990,6835.70,16.97
3/9/1990,6816.60,16.97
3/12/1990,6749.80,16.97
3/13/1990,6795.80,17.03
3/14/1990,6776.40,17.03
3/15/1990,6819.70,17.03
3/16/1990,6834.10,17.03
3/19/1990,6809.80,17.05
3/20/1990,6832.00,17.02
3/21/1990,6721.40,17.02
3/22/1990,6719.00,17.08
3/23/1990,6749.20,17.12
3/26/1990,6274.10,17.14
3/27/1990,6330.20,17.11
3/28/1990,6347.30,17.11
3/29/1990,6376.70,17.11
3/30/1990,6334.40,17.18
4/2/1990,6460.00,17.18
4/3/1990,6536.10,17.17
4/4/1990,6442.60,17.15
4/5/1990,6493.80,17.14
4/6/1990,6503.80,17.16
4/9/1990,6410.40,17.18
4/10/1990,6428.00,17.19
4/11/1990,6457.80,17.19
4/12/1990,6403.20,17.19
4/13/1990,6403.20,17.23
4/16/1990,6403.20,17.23
4/17/1990,6457.20,17.26
4/18/1990,6476.60,17.28
4/19/1990,6488.80,17.24
4/20/1990,6517.60,17.24
4/23/1990,6535.10,17.27
4/24/1990,6535.50,17.27
4/25/1990,6440.60,17.27
4/26/1990,6458.70,17.30
4/27/1990,6457.90,17.30
4/30/1990,6379.30,17.30
5/1/1990,6412.50,17.29
5/2/1990,6438.40,17.29
5/3/1990,6405.60,17.28
5/4/1990,6307.60,17.28
5/7/1990,6307.60,17.28
5/8/1990,6429.50,17.25
5/9/1990,6400.70,17.20
5/10/1990,6419.80,17.23
5/11/1990,6369.40,17.27
5/14/1990,6308.10,17.24
5/15/1990,6361.90,17.23
5/16/1990,6392.60,17.21
5/17/1990,6371.10,17.18
5/18/1990,6371.10,17.22
5/21/1990,6398.50,17.22
5/22/1990,6481.90,17.22
5/23/1990,6296.70,17.21
5/24/1990,6347.60,17.21
5/25/1990,6267.40,17.19
5/28/1990,6267.40,17.19
5/29/1990,6394.50,17.30
5/30/1990,6366.50,17.35
5/31/1990,6295.50,17.38
6/1/1990,6311.00,17.40
6/4/1990,6137.30,17.52
6/5/1990,6230.60,17.46
6/6/1990,6251.10,17.45
6/7/1990,6143.20,17.44
6/8/1990,6155.00,17.45
6/11/1990,6101.00,17.50
6/12/1990,6191.70,17.46
6/13/1990,6088.60,17.44
6/14/1990,6024.70,17.40
6/15/1990,6032.40,17.46
6/18/1990,6012.80,17.45
6/19/1990,6069.80,17.44
6/20/1990,6038.60,17.43
6/21/1990,6086.90,17.43
6/22/1990,6063.30,17.44
6/25/1990,6091.90,17.45
6/26/1990,6077.10,17.44
6/27/1990,6107.50,17.44
6/28/1990,6144.80,17.46
6/29/1990,6140.50,17.49
7/2/1990,6282.60,17.49
7/3/1990,6299.20,17.47
7/4/1990,6283.30,17.47
7/5/1990,6266.70,17.45
7/6/1990,6291.10,17.45
7/9/1990,6225.30,17.39
7/10/1990,6142.10,17.37
7/11/1990,6153.90,17.40
7/12/1990,6189.50,17.48
7/13/1990,6341.60,17.46
7/16/1990,6242.10,17.46
7/17/1990,6278.40,17.44
7/18/1990,6224.60,17.42
7/19/1990,6310.10,17.43
7/20/1990,6279.00,17.45
7/23/1990,6311.00,17.46
7/24/1990,6418.70,17.45
7/25/1990,6476.60,17.46
7/26/1990,6421.40,17.47
7/27/1990,6381.40,17.42
7/30/1990,6312.50,17.39
7/31/1990,6457.20,17.39
8/1/1990,6431.90,17.38
8/2/1990,6608.80,17.38
8/3/1990,6570.30,17.39
8/6/1990,6532.50,17.33
8/7/1990,6622.90,17.35
8/8/1990,6671.30,17.37
8/9/1990,6648.50,17.39
8/10/1990,6768.10,17.41
8/13/1990,6995.80,17.36
8/14/1990,7121.70,17.36
8/15/1990,6877.90,17.36
8/16/1990,6949.60,17.32
8/17/1990,7080.70,17.32
8/20/1990,6965.70,17.31
8/21/1990,7160.80,17.39
8/22/1990,7074.70,17.36
8/23/1990,7121.60,17.32
8/24/1990,7095.60,17.35
8/27/1990,7095.60,17.38
8/28/1990,6738.60,17.39
8/29/1990,6675.20,17.45
8/30/1990,6805.70,17.51
8/31/1990,6783.80,17.55
9/3/1990,6814.10,17.75
9/4/1990,6717.70,17.65
9/5/1990,6701.80,17.57
9/6/1990,6797.80,17.60
9/7/1990,6788.60,17.70
9/10/1990,6872.40,17.76
9/11/1990,6725.00,17.84
9/12/1990,6763.10,17.81
9/13/1990,6792.60,17.90
9/14/1990,6881.60,17.91
9/17/1990,6895.80,17.86
9/18/1990,6879.20,17.86
9/19/1990,6913.90,17.89
9/20/1990,6964.70,18.02
9/21/1990,7058.20,18.17
9/24/1990,7060.60,18.08
9/25/1990,7296.10,18.11
9/26/1990,7280.60,18.12
9/27/1990,7276.30,18.08
9/28/1990,7333.10,18.08
10/1/1990,7340.80,18.08
10/2/1990,6999.20,18.08
10/3/1990,7005.10,18.08
10/4/1990,7140.70,18.03
10/5/1990,7136.20,18.10
10/8/1990,6909.30,17.94
10/9/1990,7162.30,18.04
10/10/1990,7055.60,18.05
10/11/1990,6978.10,18.03
10/12/1990,6982.20,18.00
10/15/1990,6820.80,17.99
10/16/1990,6573.70,18.05
10/17/1990,6619.70,18.09
10/18/1990,6630.60,18.09
10/19/1990,6734.70,18.12
10/22/1990,6788.10,18.08
10/23/1990,6713.00,18.13
10/24/1990,6709.40,18.09
10/25/1990,6794.50,18.12
10/26/1990,6761.40,18.07
10/29/1990,6677.50,18.16
10/30/1990,6776.60,18.14
10/31/1990,6895.00,18.16
11/1/1990,6873.10,18.15
11/2/1990,6874.80,18.11
11/5/1990,6751.90,18.14
11/6/1990,6865.30,18.13
11/7/1990,6950.10,18.11
11/8/1990,6981.20,18.14
11/9/1990,6977.00,18.12
11/12/1990,6847.80,18.12
11/13/1990,6946.70,18.16
11/14/1990,6943.10,18.11
11/15/1990,6832.00,18.09
11/16/1990,6803.50,18.10
11/19/1990,6710.50,18.09
11/20/1990,6864.10,18.07
11/21/1990,6801.40,18.02
11/22/1990,6841.50,18.05
11/23/1990,6921.40,18.06
11/26/1990,6968.30,18.11
11/27/1990,6945.30,18.11
11/28/1990,6983.70,18.13
11/29/1990,7016.30,18.13
11/30/1990,6999.60,18.19
12/3/1990,6958.40,18.18
12/4/1990,6836.60,18.10
12/5/1990,6799.90,18.10
12/6/1990,6697.00,18.13
12/7/1990,6713.00,18.09
12/10/1990,6733.70,18.11
12/11/1990,6736.00,18.11
12/12/1990,6695.90,18.08
12/13/1990,6729.10,18.11
12/14/1990,6752.00,18.15
12/17/1990,6795.70,18.14
12/18/1990,6845.90,18.17
12/19/1990,6883.60,18.17
12/20/1990,6979.50,18.17
12/21/1990,7014.20,18.21
12/24/1990,6939.20,18.23
12/25/1990,6939.20,18.23
12/26/1990,6939.20,18.25
12/27/1990,6955.90,18.23
12/28/1990,6977.50,18.17
12/31/1990,6948.90,18.14
1/1/1991,6948.90,18.14
1/2/1991,7097.30,18.08
1/3/1991,6997.70,18.14
1/4/1991,7019.50,18.11
1/7/1991,7180.00,18.18
1/8/1991,7101.90,18.22
1/9/1991,7044.80,18.22
1/10/1991,7122.50,18.29
1/11/1991,7136.10,18.33
1/14/1991,7260.60,18.39
1/15/1991,7323.50,18.39
1/16/1991,7395.40,18.40
1/17/1991,6954.40,18.41
1/18/1991,6938.80,18.45
1/21/1991,6872.80,18.41
1/22/1991,7009.90,18.43
1/23/1991,6972.90,18.44
1/24/1991,6893.80,18.43
1/25/1991,6897.10,18.42
1/28/1991,6899.20,18.47
1/29/1991,6963.00,18.51
1/30/1991,6815.00,18.64
1/31/1991,6810.60,18.66
2/1/1991,6777.30,18.62
2/4/1991,6758.20,18.62
2/5/1991,6815.40,18.62
2/6/1991,6703.60,18.60
2/7/1991,6775.10,18.67
2/8/1991,6916.00,18.75
2/11/1991,6795.20,18.71
2/12/1991,6817.00,18.72
2/13/1991,6886.50,18.76
2/14/1991,6923.50,18.84
2/15/1991,6908.30,18.88
2/18/1991,6876.00,19.03
2/19/1991,6924.30,19.14
2/20/1991,6957.80,19.12
2/21/1991,6906.30,19.09
2/22/1991,6825.30,19.04
2/25/1991,6820.10,19.06
2/26/1991,6825.80,19.08
2/27/1991,6862.90,19.09
2/28/1991,6917.00,19.08
3/1/1991,7010.30,19.09
3/4/1991,7031.60,19.06
3/5/1991,6932.60,19.05
3/6/1991,6962.70,19.03
3/7/1991,6975.50,19.06
3/8/1991,7036.30,19.11
3/11/1991,7214.20,19.12
3/12/1991,6949.90,19.13
3/13/1991,6994.80,19.15
3/14/1991,6970.90,19.14
3/15/1991,7010.30,19.15
3/18/1991,7086.10,19.24
3/19/1991,7043.30,19.32
3/20/1991,7063.40,19.41
3/21/1991,6982.30,19.31
3/22/1991,6964.90,19.30
3/25/1991,7024.20,19.40
3/26/1991,6954.10,19.60
3/27/1991,6922.20,19.60
3/28/1991,6942.20,19.62
3/29/1991,6942.20,19.62
4/1/1991,6942.20,19.61
4/2/1991,7034.70,19.69
4/3/1991,7025.70,19.66
4/4/1991,7049.50,19.75
4/5/1991,7055.10,19.74
4/8/1991,7081.20,19.85
4/9/1991,7177.30,19.75
4/10/1991,7169.00,19.70
4/11/1991,7163.30,19.87
4/12/1991,7183.00,19.81
4/15/1991,7346.90,19.80
4/16/1991,7123.00,19.76
4/17/1991,7119.90,19.76
4/18/1991,7147.50,19.91
4/19/1991,7155.70,20.11
4/22/1991,7246.00,20.29
4/23/1991,7193.10,20.27
4/24/1991,7181.10,20.19
4/25/1991,7162.40,20.25
4/26/1991,7134.10,20.24
4/29/1991,7076.40,20.29
4/30/1991,7226.60,20.21
5/1/1991,7202.40,20.23
5/2/1991,7154.20,20.22
5/3/1991,7089.00,20.20
5/6/1991,7089.00,20.44
5/7/1991,7255.40,20.39
5/8/1991,7275.10,20.39
5/9/1991,7300.30,20.49
5/10/1991,7297.90,20.46
5/13/1991,7324.50,20.50
5/14/1991,7311.40,20.50
5/15/1991,7384.20,20.48
5/16/1991,7287.30,20.46
5/17/1991,7278.90,20.54
5/20/1991,7186.70,20.71
5/21/1991,7349.60,20.71
5/22/1991,7360.20,20.71
5/23/1991,7342.40,20.80
5/24/1991,7442.90,20.75
5/27/1991,7442.90,20.75
5/28/1991,7345.30,20.75
5/29/1991,7472.00,20.69
5/30/1991,7491.30,20.78
5/31/1991,7527.30,20.91
6/3/1991,7527.30,21.04
6/4/1991,7609.80,21.04
6/5/1991,7608.40,21.05
6/6/1991,7655.80,21.04
6/7/1991,7724.20,21.06
6/10/1991,7756.00,21.04
6/11/1991,7804.70,21.01
6/12/1991,7783.60,20.91
6/13/1991,7739.70,21.02
6/14/1991,7713.80,21.09
6/17/1991,7667.50,21.17
6/18/1991,7820.60,21.21
6/19/1991,7771.10,21.16
6/20/1991,7764.50,21.12
6/21/1991,7704.50,21.08
6/24/1991,7470.70,21.18
6/25/1991,7675.60,21.17
6/26/1991,7719.50,21.13
6/27/1991,7684.70,21.12
6/28/1991,7785.60,21.20
7/1/1991,7786.90,23.16
7/2/1991,8487.80,23.16
7/3/1991,9685.60,26.53
7/4/1991,9605.10,26.10
7/5/1991,9652.70,26.11
7/8/1991,9324.50,25.89
7/9/1991,9550.30,25.86
7/10/1991,9620.80,25.88
7/11/1991,9506.90,25.89
7/12/1991,9502.30,25.92
7/15/1991,9348.00,25.91
7/16/1991,9574.30,25.98
7/17/1991,9570.20,25.97
7/18/1991,9544.20,25.87
7/19/1991,9560.30,25.93
7/22/1991,9458.20,25.76
7/23/1991,9454.90,25.76
7/24/1991,9419.20,25.79
7/25/1991,9381.40,25.70
7/26/1991,9377.70,25.76
7/29/1991,9310.10,25.82
7/30/1991,9300.90,25.76
7/31/1991,9348.00,25.88
8/1/1991,9345.50,25.80
8/2/1991,9262.10,26.04
8/5/1991,9046.00,25.79
8/6/1991,9129.40,25.63
8/7/1991,9132.30,25.65
8/8/1991,9152.10,25.54
8/9/1991,9227.50,25.76
8/12/1991,9260.90,25.87
8/13/1991,9211.90,25.87
8/14/1991,9253.20,26.03
8/15/1991,9300.50,26.03
8/16/1991,9281.70,25.96
8/19/1991,9337.40,26.07
8/20/1991,9205.10,25.98
8/21/1991,9223.00,26.00
8/22/1991,9227.80,25.96
8/23/1991,9191.50,25.95
8/26/1991,9138.70,25.96
8/27/1991,9174.00,25.94
8/28/1991,9158.30,25.87
8/29/1991,9035.60,25.76
8/30/1991,8953.70,25.80
9/2/1991,8931.10,25.89
9/3/1991,8976.30,25.83
9/4/1991,8973.80,25.84
9/5/1991,8955.90,25.82
9/6/1991,8979.00,25.86
9/9/1991,9017.00,25.82
9/10/1991,9053.70,25.78
9/11/1991,8903.90,25.81
9/12/1991,8919.50,25.82
9/13/1991,8891.50,25.83
9/16/1991,8798.30,25.89
9/17/1991,8980.00,25.96
9/18/1991,9018.80,25.92
9/19/1991,9026.10,25.88
9/20/1991,9017.20,25.96
9/23/1991,9035.70,25.94
9/24/1991,9105.60,25.86
9/25/1991,9106.20,25.77
9/26/1991,9065.50,25.85
9/27/1991,9003.60,25.80
9/30/1991,9120.50,25.80
10/1/1991,9118.10,25.81
10/2/1991,9158.10,25.81
10/3/1991,9188.50,25.74
10/4/1991,9167.70,25.76
10/7/1991,9264.00,25.76
10/8/1991,9244.00,25.82
10/9/1991,9229.80,25.84
10/10/1991,9267.80,25.82
10/11/1991,9219.90,25.81
10/14/1991,9234.00,25.81
10/15/1991,9233.90,25.81
10/16/1991,9213.80,25.86
10/17/1991,9242.90,25.81
10/18/1991,9247.50,25.85
10/21/1991,9398.70,25.83
10/22/1991,9365.70,25.83
10/23/1991,9347.90,25.82
10/24/1991,9307.00,25.83
10/25/1991,9337.10,25.82
10/28/1991,9249.20,25.82
10/29/1991,9213.60,25.85
10/30/1991,9287.90,25.92
10/31/1991,9241.40,25.80
11/1/1991,9244.90,25.82
11/4/1991,9183.20,25.81
11/5/1991,9197.80,25.81
11/6/1991,9137.20,25.84
11/7/1991,9137.20,25.83
11/8/1991,9123.50,25.81
11/11/1991,9149.80,25.81
11/12/1991,9148.90,25.82
11/13/1991,9200.60,25.84
11/14/1991,9175.30,25.84
11/15/1991,9165.80,25.82
11/18/1991,9349.10,25.81
11/19/1991,9358.40,25.81
11/20/1991,9348.70,25.82
11/21/1991,9386.70,25.81
11/22/1991,9487.30,25.79
11/25/1991,9529.50,25.76
11/26/1991,9450.80,25.82
11/27/1991,9490.20,25.84
11/28/1991,9452.50,25.81
11/29/1991,9466.70,25.81
12/2/1991,9537.90,25.82
12/3/1991,9310.30,25.82
12/4/1991,9405.70,25.81
12/5/1991,9399.90,25.83
12/6/1991,9504.00,25.88
12/9/1991,9597.40,25.88
12/10/1991,9506.60,25.87
12/11/1991,9466.20,25.88
12/12/1991,9290.60,25.86
12/13/1991,9287.50,25.87
12/16/1991,9280.00,25.82
12/17/1991,9223.10,25.81
12/18/1991,9248.50,25.82
12/19/1991,9258.80,25.82
12/20/1991,9232.00,25.82
12/23/1991,9204.40,25.83
12/24/1991,9289.60,25.86
12/25/1991,9289.60,25.86
12/26/1991,9289.60,25.82
12/27/1991,9103.90,25.81
12/30/1991,9079.40,25.81
12/31/1991,9080.60,25.80
1/1/1992,9080.60,25.81
1/2/1992,9063.30,25.81
1/3/1992,9110.30,25.83
1/6/1992,9099.00,25.81
1/7/1992,9018.40,25.83
1/8/1992,9030.90,25.82
1/9/1992,9106.50,25.82
1/10/1992,9261.70,25.82
1/13/1992,9029.10,25.85
1/14/1992,9117.80,25.84
1/15/1992,9199.60,25.84
1/16/1992,9190.80,25.87
1/17/1992,9252.60,26.03
1/20/1992,9294.30,25.92
1/21/1992,9259.40,25.92
1/22/1992,9209.00,25.91
1/23/1992,9194.50,25.93
1/24/1992,9169.20,26.07
1/27/1992,9289.30,25.97
1/28/1992,9237.40,25.96
1/29/1992,9208.60,25.94
1/30/1992,9252.60,25.93
1/31/1992,9182.90,26.00
2/3/1992,9127.80,25.86
2/4/1992,9188.20,25.83
2/5/1992,9126.50,25.80
2/6/1992,9170.60,25.82
2/7/1992,9170.50,25.85
2/10/1992,9128.50,25.83
2/11/1992,9225.60,25.97
2/12/1992,9246.10,25.95
2/13/1992,9250.10,25.93
2/14/1992,9162.40,25.90
2/17/1992,9148.40,25.84
2/18/1992,9142.40,25.93
2/19/1992,9397.20,26.86
2/20/1992,9321.00,26.43
2/21/1992,9265.00,26.46
2/24/1992,9007.70,26.43
2/25/1992,9124.60,26.21
2/26/1992,9081.70,26.01
2/27/1992,9215.70,25.99
2/28/1992,9210.30,26.29
3/2/1992,9173.00,26.29
3/3/1992,9692.40,29.22
3/4/1992,9678.70,29.31
3/5/1992,9733.60,29.25
3/6/1992,9671.80,29.06
3/9/1992,9514.60,28.91
3/10/1992,9611.90,28.80
3/11/1992,9644.60,28.90
3/12/1992,9727.10,29.57
3/13/1992,9740.20,29.77
3/16/1992,9677.20,30.30
3/17/1992,9634.50,30.40
3/18/1992,9689.50,30.49
3/19/1992,9600.10,30.47
3/20/1992,9670.60,30.84
3/23/1992,9877.60,31.46
3/24/1992,9858.90,31.28
3/25/1992,9856.10,31.25
3/26/1992,9855.30,31.25
3/27/1992,9843.90,31.24
3/30/1992,9896.20,31.00
3/31/1992,9913.30,31.35
4/1/1992,9946.90,31.44
4/2/1992,9829.20,31.14
4/3/1992,9836.10,31.17
4/6/1992,9887.80,31.18
4/7/1992,9758.70,31.16
4/8/1992,9765.10,31.12
4/9/1992,9786.60,31.10
4/10/1992,9892.60,31.10
4/13/1992,9843.60,31.13
4/14/1992,9769.10,31.10
4/15/1992,9840.40,31.05
4/16/1992,9691.60,31.01
4/17/1992,9691.60,31.01
4/20/1992,9691.60,30.68
4/21/1992,9672.90,30.75
4/22/1992,9720.10,30.77
4/23/1992,9705.30,30.69
4/24/1992,9646.40,30.60
4/27/1992,9577.40,30.54
4/28/1992,9628.20,30.63
4/29/1992,9618.80,30.61
4/30/1992,9615.70,30.58
5/1/1992,9765.00,30.59
5/4/1992,9765.00,30.53
5/5/1992,9629.30,30.49
5/6/1992,9625.40,30.50
5/7/1992,9605.40,30.43
5/8/1992,9646.00,30.40
5/11/1992,9544.60,30.34
5/12/1992,9490.60,30.26
5/13/1992,9496.90,30.14
5/14/1992,9509.80,30.14
5/15/1992,9610.10,30.14
5/18/1992,9527.20,30.03
5/19/1992,9546.20,29.84
5/20/1992,9495.40,29.95
5/21/1992,9587.70,30.16
5/22/1992,9627.60,30.51
5/25/1992,9627.60,30.45
5/26/1992,9681.80,30.73
5/27/1992,9740.60,30.91
5/28/1992,9638.00,30.79
5/29/1992,9669.20,30.60
6/1/1992,9608.40,30.47
6/2/1992,9681.50,30.57
6/3/1992,9720.80,30.62
6/4/1992,9672.80,30.52
6/5/1992,9677.60,30.44
6/8/1992,9972.60,30.35
